time,co2
1627862426,612
1627862486,610
1627862546,606
1627862606,609
1627862666,606
1627862726,605
1627862786,609
1627862846,610
1627862906,612
1627862966,611
1627863026,610
1627863086,610
1627863146,613
1627863206,613
1627863266,612
1627863326,613
1627863386,611
1627863447,615
1627863506,616
1627863566,611
1627863626,611
1627863686,609
1627863746,608
1627863806,606
1627863866,609
1627863926,609
1627863986,607
1627864046,609
1627864106,610
1627864166,615
1627864226,614
1627864286,613
1627864346,617
1627864406,619
1627864466,621
1627864526,621
1627864586,624
1627864646,624
1627864706,623
1627864766,621
1627864826,622
1627864886,622
1627864946,621
1627865006,617
1627865066,618
1627865126,616
1627865186,618
1627865246,619
1627865306,616
1627865366,610
1627865426,611
1627865486,615
1627865546,615
1627865606,620
1627865666,621
1627865726,622
1627865786,623
1627865846,624
1627865906,625
1627865966,622
1627866026,620
1627866086,624
1627866146,625
1627866206,626
1627866266,623
1627866326,622
1627866386,624
1627866446,622
1627866506,624
1627866566,618
1627866626,617
1627866686,624
1627866746,625
1627866806,629
1627866866,632
1627866926,627
1627866986,628
1627867046,630
1627867106,628
1627867166,623
1627867226,625
1627867286,626
1627867346,629
1627867406,628
1627867466,627
1627867526,631
1627867586,630
1627867646,625
1627867706,629
1627867766,632
1627867826,631
1627867886,630
1627867946,634
1627868006,634
1627868066,631
1627868126,632
1627868186,635
1627868246,638
1627868306,640
1627868366,638
1627868426,635
1627868486,633
1627868546,636
1627868606,635
1627868666,635
1627868726,635
1627868786,637
1627868846,638
1627868906,640
1627868966,641
1627869026,639
1627869086,638
1627869146,638
1627869206,640
1627869266,641
1627869326,642
1627869386,639
1627869446,641
1627869506,642
1627869566,640
1627869626,641
1627869686,644
1627869746,643
1627869806,639
1627869866,642
1627869926,644
1627869986,647
1627870046,649
1627870106,649
1627870166,644
1627870226,647
1627870286,649
1627870346,651
1627870406,646
1627870466,645
1627870526,648
1627870586,649
1627870646,652
1627870706,651
1627870766,650
1627870826,648
1627870886,653
1627870946,652
1627871006,648
1627871066,642
1627871126,642
1627871186,642
1627871246,646
1627871306,646
1627871366,644
1627871426,645
1627871486,646
1627871546,646
1627871606,646
1627871666,647
1627871726,651
1627871786,656
1627871846,655
1627871906,654
1627871966,657
1627872026,660
1627872086,658
1627872146,656
1627872206,655
1627872266,657
1627872326,661
1627872386,662
1627872446,661
1627872506,665
1627872566,662
1627872626,659
1627872686,659
1627872746,662
1627872806,660
1627872866,661
1627872926,664
1627872986,663
1627873046,663
1627873106,659
1627873166,655
1627873226,656
1627873286,661
1627873346,664
1627873406,665
1627873466,664
1627873526,662
1627873586,658
1627873646,659
1627873705,663
1627873766,664
1627873825,665
1627873885,670
1627873946,666
1627874006,665
1627874065,660
1627874125,663
1627874185,671
1627874245,670
1627874305,673
1627874366,676
1627874425,669
1627874486,671
1627874545,670
1627874606,669
1627874665,669
1627874725,665
1627874785,667
1627874845,670
1627874905,668
1627874965,666
1627875025,672
1627875085,674
1627875145,677
1627875205,680
1627875265,675
1627875325,675
1627875385,676
1627875445,675
1627875505,681
1627875565,681
1627875625,676
1627875685,677
1627875745,675
1627875805,673
1627875865,671
1627875925,673
1627875985,669
1627876045,672
1627876105,671
1627876165,675
1627876225,676
1627876285,676
1627876345,676
1627876405,673
1627876465,675
1627876525,680
1627876585,678
1627876645,680
1627876705,680
1627876765,683
1627876825,681
1627876885,677
1627876945,675
1627877005,680
1627877065,678
1627877125,678
1627877185,678
1627877245,677
1627877305,676
1627877365,676
1627877425,680
1627877485,678
1627877545,677
1627877605,677
1627877665,676
1627877725,674
1627877785,671
1627877845,674
1627877905,677
1627877965,679
1627878025,680
1627878085,678
1627878145,676
1627878205,676
1627878265,677
1627878325,681
1627878385,677
1627878445,673
1627878505,674
1627878565,671
1627878625,673
1627878685,672
1627878745,671
1627878805,674
1627878865,672
1627878925,671
1627878985,672
1627879045,667
1627879105,667
1627879165,669
