time,latitude,longitude,altitude,pm10
1614636053,45.651464,25.615426,100,14
1614636113,45.651464,25.615426,100,14
1614636173,45.651464,25.615426,100,13
1614636233,45.651464,25.615426,100,13
1614636293,45.651464,25.615426,100,13
1614636353,45.651464,25.615426,100,14
1614636413,45.651464,25.615426,100,17
1614636473,45.651464,25.615426,100,17
1614636533,45.651464,25.615426,100,16
1614636593,45.651464,25.615426,100,16
1614636653,45.651464,25.615426,100,16
1614636713,45.651464,25.615426,100,15
1614636773,45.651464,25.615426,100,16
1614636833,45.651464,25.615426,100,15
1614636893,45.651464,25.615426,100,14
1614636953,45.651464,25.615426,100,15
1614637013,45.651464,25.615426,100,14
1614637073,45.651464,25.615426,100,13
1614637133,45.651464,25.615426,100,13
1614637193,45.651464,25.615426,100,14
1614637253,45.651464,25.615426,100,13
1614637313,45.651464,25.615426,100,13
1614637373,45.651464,25.615426,100,14
1614637433,45.651464,25.615426,100,14
1614637493,45.651464,25.615426,100,14
1614637553,45.651464,25.615426,100,14
1614637613,45.651464,25.615426,100,14
1614637673,45.651464,25.615426,100,14
1614637733,45.651464,25.615426,100,15
1614637793,45.651464,25.615426,100,15
1614637853,45.651464,25.615426,100,15
1614637913,45.651464,25.615426,100,15
1614637973,45.651464,25.615426,100,14
1614638033,45.651464,25.615426,100,14
1614638093,45.651464,25.615426,100,16
1614638153,45.651464,25.615426,100,15
1614638213,45.651464,25.615426,100,15
1614638273,45.651464,25.615426,100,15
1614638333,45.651464,25.615426,100,15
1614638393,45.651464,25.615426,100,16
1614638453,45.651464,25.615426,100,15
1614638513,45.651464,25.615426,100,15
1614638573,45.651464,25.615426,100,15
1614638633,45.651464,25.615426,100,14
1614638693,45.651464,25.615426,100,14
1614638753,45.651464,25.615426,100,14
1614638813,45.651464,25.615426,100,14
1614638873,45.651464,25.615426,100,15
1614638933,45.651464,25.615426,100,15
1614638993,45.651464,25.615426,100,14
1614639053,45.651464,25.615426,100,14
1614639113,45.651464,25.615426,100,14
1614639173,45.651464,25.615426,100,14
1614639233,45.651464,25.615426,100,14
1614639293,45.651464,25.615426,100,14
1614639353,45.651464,25.615426,100,14
1614639413,45.651464,25.615426,100,14
1614639473,45.651464,25.615426,100,14
1614639533,45.651464,25.615426,100,14
1614639593,45.651464,25.615426,100,14
1614639653,45.651464,25.615426,100,14
1614639713,45.651464,25.615426,100,14
1614639773,45.651464,25.615426,100,14
1614639833,45.651464,25.615426,100,14
1614639893,45.651464,25.615426,100,13
1614639953,45.651464,25.615426,100,13
1614640013,45.651464,25.615426,100,12
1614640073,45.651464,25.615426,100,12
1614640133,45.651464,25.615426,100,13
1614640193,45.651464,25.615426,100,14
1614640253,45.651464,25.615426,100,14
1614640313,45.651464,25.615426,100,14
1614640373,45.651464,25.615426,100,14
1614640433,45.651464,25.615426,100,14
1614640493,45.651464,25.615426,100,13
1614640553,45.651464,25.615426,100,13
1614640613,45.651464,25.615426,100,14
1614640673,45.651464,25.615426,100,14
1614640733,45.651464,25.615426,100,14
1614640793,45.651464,25.615426,100,14
1614640853,45.651464,25.615426,100,14
1614640913,45.651464,25.615426,100,13
1614640973,45.651464,25.615426,100,13
1614641033,45.651464,25.615426,100,14
1614641093,45.651464,25.615426,100,14
1614641153,45.651464,25.615426,100,14
1614641213,45.651464,25.615426,100,14
1614641273,45.651464,25.615426,100,14
1614641333,45.651464,25.615426,100,14
1614641393,45.651464,25.615426,100,13
1614641453,45.651464,25.615426,100,13
1614641513,45.651464,25.615426,100,13
1614641573,45.651464,25.615426,100,13
1614641633,45.651464,25.615426,100,13
1614641693,45.651464,25.615426,100,12
1614641753,45.651464,25.615426,100,12
1614641813,45.651464,25.615426,100,12
1614641873,45.651464,25.615426,100,12
1614641933,45.651464,25.615426,100,12
1614641993,45.651464,25.615426,100,12
1614642053,45.651464,25.615426,100,12
1614642113,45.651464,25.615426,100,12
1614642173,45.651464,25.615426,100,13
1614642233,45.651464,25.615426,100,13
1614642293,45.651464,25.615426,100,14
1614642353,45.651464,25.615426,100,18
1614642413,45.651464,25.615426,100,23
1614642473,45.651464,25.615426,100,26
1614642533,45.651464,25.615426,100,27
1614642593,45.651464,25.615426,100,26
1614642653,45.651464,25.615426,100,20
1614642713,45.651464,25.615426,100,18
1614642773,45.651464,25.615426,100,17
1614642833,45.651464,25.615426,100,14
1614642893,45.651464,25.615426,100,14
1614642953,45.651464,25.615426,100,14
1614643013,45.651464,25.615426,100,17
1614643073,45.651464,25.615426,100,17
1614643133,45.651464,25.615426,100,15
1614643193,45.651464,25.615426,100,14
1614643253,45.651464,25.615426,100,15
1614643313,45.651464,25.615426,100,17
1614643373,45.651464,25.615426,100,17
1614643433,45.651464,25.615426,100,19
1614643493,45.651464,25.615426,100,19
1614643553,45.651464,25.615426,100,20
1614643613,45.651464,25.615426,100,20
1614643673,45.651464,25.615426,100,14
1614643733,45.651464,25.615426,100,13
1614643793,45.651464,25.615426,100,14
1614643853,45.651464,25.615426,100,14
1614643913,45.651464,25.615426,100,14
1614643973,45.651464,25.615426,100,16
1614644033,45.651464,25.615426,100,18
1614644093,45.651464,25.615426,100,19
1614644153,45.651464,25.615426,100,20
1614644213,45.651464,25.615426,100,21
1614644273,45.651464,25.615426,100,20
1614644333,45.651464,25.615426,100,28
1614644393,45.651464,25.615426,100,38
1614644453,45.651464,25.615426,100,39
1614644513,45.651464,25.615426,100,39
1614644573,45.651464,25.615426,100,38
1614644633,45.651464,25.615426,100,32
1614644693,45.651464,25.615426,100,19
1614644753,45.651464,25.615426,100,16
1614644813,45.651464,25.615426,100,13
1614644873,45.651464,25.615426,100,12
1614644933,45.651464,25.615426,100,12
1614644993,45.651464,25.615426,100,11
1614645053,45.651464,25.615426,100,10
1614645113,45.651464,25.615426,100,9
1614645173,45.651464,25.615426,100,9
1614645233,45.651464,25.615426,100,9
1614645293,45.651464,25.615426,100,9
1614645353,45.651464,25.615426,100,9
1614645413,45.651464,25.615426,100,10
1614645473,45.651464,25.615426,100,21
1614645533,45.651464,25.615426,100,22
