time,latitude,longitude,altitude,co2
1609452017,45.651464,25.615426,100,480
1609452077,45.651464,25.615426,100,479
1609452137,45.651464,25.615426,100,477
1609452197,45.651464,25.615426,100,479
1609452257,45.651464,25.615426,100,479
1609452317,45.651464,25.615426,100,480
1609452377,45.651464,25.615426,100,478
1609452437,45.651464,25.615426,100,476
1609452497,45.651464,25.615426,100,477
1609452557,45.651464,25.615426,100,478
1609452617,45.651464,25.615426,100,475
1609452677,45.651464,25.615426,100,477
1609452737,45.651464,25.615426,100,479
1609452797,45.651464,25.615426,100,482
1609452857,45.651464,25.615426,100,478
1609452917,45.651464,25.615426,100,478
1609452977,45.651464,25.615426,100,478
1609453037,45.651464,25.615426,100,480
1609453097,45.651464,25.615426,100,480
1609453157,45.651464,25.615426,100,485
1609453217,45.651464,25.615426,100,483
1609453277,45.651464,25.615426,100,480
1609453337,45.651464,25.615426,100,482
1609453397,45.651464,25.615426,100,481
1609453457,45.651464,25.615426,100,488
1609453517,45.651464,25.615426,100,489
1609453577,45.651464,25.615426,100,484
1609453637,45.651464,25.615426,100,485
1609453697,45.651464,25.615426,100,484
1609453757,45.651464,25.615426,100,489
1609453817,45.651464,25.615426,100,494
1609453877,45.651464,25.615426,100,491
1609453937,45.651464,25.615426,100,491
1609453997,45.651464,25.615426,100,491
1609454057,45.651464,25.615426,100,488
1609454117,45.651464,25.615426,100,489
1609454177,45.651464,25.615426,100,488
1609454237,45.651464,25.615426,100,485
1609454297,45.651464,25.615426,100,486
1609454357,45.651464,25.615426,100,490
1609454417,45.651464,25.615426,100,490
1609454477,45.651464,25.615426,100,491
1609454537,45.651464,25.615426,100,493
1609454597,45.651464,25.615426,100,489
1609454657,45.651464,25.615426,100,494
1609454717,45.651464,25.615426,100,495
1609454777,45.651464,25.615426,100,496
1609454837,45.651464,25.615426,100,491
1609454897,45.651464,25.615426,100,486
1609454957,45.651464,25.615426,100,487
1609455017,45.651464,25.615426,100,487
1609455077,45.651464,25.615426,100,487
1609455137,45.651464,25.615426,100,486
1609455197,45.651464,25.615426,100,482
